titel;kuerzel;slug;url;untertitel;kategorien;spielart_geschaetzt
Pardon, mein Freund;;pardon-mein-freund;https://theaterverlag-arno-boas.de/stuecke/pardon-mein-freund;Komödie;Komödie;Abendfüllend
Pension Rhönblick;;pension-rhonblick;https://theaterverlag-arno-boas.de/stuecke/pension-rhonblick;Komödie;Komödie, Krimi;Abendfüllend
Pfingsten kann sehr lang sein;;pfingsten-kann-sehr-lang-sein;https://theaterverlag-arno-boas.de/stuecke/pfingsten-kann-sehr-lang-sein;Komödie (Einakter);Komödie;Einakter
Pia allein zuhaus;;pia-allein-zuhaus;https://theaterverlag-arno-boas.de/stuecke/pia-allein-zuhaus;Weihnachtskomödie;Weihnachten;Abendfüllend
Pizza vs. Lerberkäs;;pizza-vs-lerberkas;https://theaterverlag-arno-boas.de/stuecke/pizza-vs-lerberkas;Eine deutsch-italienische Komödie;Komödie;Abendfüllend
Radio MuK;;radio-muk;https://theaterverlag-arno-boas.de/stuecke/radio-muk;oder der mediale Kampf ums Überleben;Komödie;Abendfüllend
Rechts vor Links(?);;rechts-vor-links;https://theaterverlag-arno-boas.de/stuecke/rechts-vor-links;Zeitkritische Komödie (Einakter);Tragikomödie;Einakter
Reif für die Insel;;reif-fur-die-insel;https://theaterverlag-arno-boas.de/stuecke/reif-fur-die-insel;Komödie (Einakter);Komödie;Einakter
Reise nach Jerusalem;;reise-nach-jerusalem;https://theaterverlag-arno-boas.de/stuecke/reise-nach-jerusalem;Boulevard-Komödie;Komödie;Abendfüllend
Rosa gibt nicht auf;;rosa-gibt-nicht-auf;https://theaterverlag-arno-boas.de/stuecke/rosa-gibt-nicht-auf;Komödie für Senioren (Einakter);Für Senioren;Einakter
Räuber im Rock;;rauber-im-rock;https://theaterverlag-arno-boas.de/stuecke/rauber-im-rock;Komödie;Komödie;Abendfüllend
Saustall beim Amtsgericht;;saustall-beim-amtsgericht;https://theaterverlag-arno-boas.de/stuecke/saustall-beim-amtsgericht;Gerichts-Komödie;Komödie, Krimi;Abendfüllend
Scheinheiligkeit hat einen Namen;;scheinheiligkeit-hat-einen-namen;https://theaterverlag-arno-boas.de/stuecke/scheinheiligkeit-hat-einen-namen;Lustspiel;Komödie;Abendfüllend
Schicksalsschläge;;schicksalsschlage;https://theaterverlag-arno-boas.de/stuecke/schicksalsschlage;Komödie;Komödie;Abendfüllend
Schwarzer Blitz und roter Hahn;;schwarzer-blitz-und-roter-hahn;https://theaterverlag-arno-boas.de/stuecke/schwarzer-blitz-und-roter-hahn;Kirchlich-kommunistische Komödie;Komödie;Abendfüllend
Showdown im Park;;showdown-im-park;https://theaterverlag-arno-boas.de/stuecke/showdown-im-park;Satirische Kriminalkomödie;Komödie, Krimi, Krimikomödie;Abendfüllend
Sicher ist sicher;;sicher-ist-sicher;https://theaterverlag-arno-boas.de/stuecke/sicher-ist-sicher;Krimi-Komödie (Einakter);Krimi, Krimikomödie;Einakter
Silvestergeister;;silvestergeister;https://theaterverlag-arno-boas.de/stuecke/silvestergeister;Komödie;Komödie;Abendfüllend
So ein Durcheinander;;so-ein-durcheinander;https://theaterverlag-arno-boas.de/stuecke/so-ein-durcheinander;Schwank;Komödie;Abendfüllend
So ein Sauhaufen;;so-ein-sauhaufen;https://theaterverlag-arno-boas.de/stuecke/so-ein-sauhaufen;Tierische Komödie;Komödie;Abendfüllend
Spinatulus Wachtulus;;spinatulus-wachtulus;https://theaterverlag-arno-boas.de/stuecke/spinatulus-wachtulus;Komödie;Komödie;Abendfüllend
Stadtführung;;stadtfuhrung;https://theaterverlag-arno-boas.de/stuecke/stadtfuhrung;Komödie;Komödie;Abendfüllend
Super-Kollege Schmitt;;super-kollege-schmitt;https://theaterverlag-arno-boas.de/stuecke/super-kollege-schmitt;Komödie (Einakter, Spieldauer ca. 60 Min.);Komödie;Einakter
Tee oder Kaffee;;tee-oder-kaffee;https://theaterverlag-arno-boas.de/stuecke/tee-oder-kaffee;Komödie über (Text)probleme bei einer Theaterprobe;Komödie;Abendfüllend
Topf und Deckel;;topf-und-deckel;https://theaterverlag-arno-boas.de/stuecke/topf-und-deckel;Komödie;Komödie;Abendfüllend
Tradition;;tradition;https://theaterverlag-arno-boas.de/stuecke/tradition;Komödie (Sketch);Weihnachten;Sketch
und dess am hellichten Dooch;;und-dess-am-hellichten-dooch;https://theaterverlag-arno-boas.de/stuecke/und-dess-am-hellichten-dooch;Komödie;Komödie;Abendfüllend
Unsere Freundin Ingrid;;unsere-freundin-ingrid;https://theaterverlag-arno-boas.de/stuecke/unsere-freundin-ingrid;Komödie;Komödie;Abendfüllend
Unter Schwestern;;unter-schwestern;https://theaterverlag-arno-boas.de/stuecke/unter-schwestern;Komödie über eine Erbschaft und deren unerwartete Folgen;Komödie;Abendfüllend
Verflixt, verhext, verzaubert;;verflixt-verhext-verzaubert;https://theaterverlag-arno-boas.de/stuecke/verflixt-verhext-verzaubert;Modernes Märchen;Komödie, Märchen;Abendfüllend
Vernagelt und verbohrt;;vernagelt-und-verbohrt;https://theaterverlag-arno-boas.de/stuecke/vernagelt-und-verbohrt;;Komödie;Abendfüllend
Vier Hammel auf Brautschau;;vier-hammel-auf-brautschau;https://theaterverlag-arno-boas.de/stuecke/vier-hammel-auf-brautschau;Lustspiel;Komödie;Abendfüllend
Vollgas für die Kranken;;vollgas-fuer-die-kranken;https://theaterverlag-arno-boas.de/stuecke/vollgas-fuer-die-kranken;Eine ärztliche Komödie;Komödie;Abendfüllend
Vor dem großen Auftritt;;vor-dem-grosen-auftritt;https://theaterverlag-arno-boas.de/stuecke/vor-dem-grosen-auftritt;Komödie;Komödie;Abendfüllend
Vorsicht Tango;;vorsicht-tango;https://theaterverlag-arno-boas.de/stuecke/vorsicht-tango;Spätsommerliche Romanze (Einakter);Für Senioren;Einakter
Wartezimmer-Gschmarri;;wartezimmer-gschmarri;https://theaterverlag-arno-boas.de/stuecke/wartezimmer-gschmarri;Komödie (Einakter);Komödie;Einakter
Wartezimmer-Gschmarri II;;wartezimmer-gschmarri-ii;https://theaterverlag-arno-boas.de/stuecke/wartezimmer-gschmarri-ii;Komödie (Einakter);Komödie;Einakter
Was denn nun: Sein oder Schein;;was-denn-nun-sein-oder-schein;https://theaterverlag-arno-boas.de/stuecke/was-denn-nun-sein-oder-schein;Komödie (Einakter);Komödie;Einakter
Weihnachtsüberraschung Tante Anna;;weihnachtsuberraschung-tante-anna;https://theaterverlag-arno-boas.de/stuecke/weihnachtsuberraschung-tante-anna;Lustspiel;Komödie;Abendfüllend
Wellness now;;wellness-now;https://theaterverlag-arno-boas.de/stuecke/wellness-now;Komödie;Komödie;Abendfüllend
Wenn erst einmal die schönen Blüten blühen;;wenn-erst-einmal-die-schonen-bluten-bluhen;https://theaterverlag-arno-boas.de/stuecke/wenn-erst-einmal-die-schonen-bluten-bluhen;Boulevard-Komödie mit Krimi-Touch;Komödie, Krimi;Abendfüllend
Wer berühmt sein will, muss sterben;;wer-beruhmt-sein-will-muss-sterben;https://theaterverlag-arno-boas.de/stuecke/wer-beruhmt-sein-will-muss-sterben;Komödie;Komödie;Abendfüllend
Wer küsst die Braut?;;wer-kusst-die-braut;https://theaterverlag-arno-boas.de/stuecke/wer-kusst-die-braut;Komödie;Komödie;Abendfüllend
Wie verhext;;wie-verhext;https://theaterverlag-arno-boas.de/stuecke/wie-verhext;Märchen (Einakter);Für Jugendliche, Märchen;Einakter
Willkommen im Glubb;;willkommen-im-club;https://theaterverlag-arno-boas.de/stuecke/willkommen-im-club;Komödie (Einakter) für FC Nürnberg-Fans;Komödie;Einakter
Zuckerguss und Kräuterkekse;gn-59;gn-59-zuckerguss-und-krauterkekse;https://theaterverlag-arno-boas.de/stuecke/gn-59-zuckerguss-und-krauterkekse;Komödie;Komödie;Abendfüllend
Zum Teufel mit der Familie;;familie-fuer-fortgeschrittene;https://theaterverlag-arno-boas.de/stuecke/familie-fuer-fortgeschrittene;Komödie über den ganz normalen Familienwahnsinn;Komödie;Abendfüllend
Zwei im selben Boot;;zwei-im-selben-boot;https://theaterverlag-arno-boas.de/stuecke/zwei-im-selben-boot;Komödie;Komödie;Abendfüllend
Zwei verschwiegene Töchter;;zwei-verschwiegene-tochter;https://theaterverlag-arno-boas.de/stuecke/zwei-verschwiegene-tochter;Komödie (Einakter);Komödie;Einakter
Öchsle;;ochsle;https://theaterverlag-arno-boas.de/stuecke/ochsle;Historische Komödie aus dem 17. Jahrhundert;Komödie;Abendfüllend
Üb immer Treu und Redlichkeit;;ub-immer-treu-und-redlichkeit;https://theaterverlag-arno-boas.de/stuecke/ub-immer-treu-und-redlichkeit;Einakter von Christian Lange;Komödie;Einakter
